,Spill Number,Date Spill Reported,SpillName,County,City/Town,Address,Material,Amount,Resource Affected,Cause,Source,Waterbody,Closed,Full Address,original address,latitude,longitude
235,1406997,10/03/2014,Brooklyn Army Terminal- Parking Lot,KINGS,BROOKLYN,63RD STREET AND 1ST AVE,#6 Fuel Oil,Unknown,Unknown,Unknown,Commercial/Industrial,,02/03/15,"63RD STREET AND 1ST AVE, BROOKLYN, NY","63RD STREET AND 1ST AVE, BROOKLYN, NY",40.642456,-74.025607
236,1407041,10/06/2014,To Roadway,KINGS,BROOKLYN,CONEY ISLAND AVE AND QUINTON AVE,Other,1,"Soil , Sewer",Equipment Failure,Commercial Vehicle,,10/06/14,"CONEY ISLAND AVE AND QUINTON AVE, BROOKLYN, NY","CONEY ISLAND AVE AND QUINTON AVE, BROOKLYN, NY",40.607838,-73.961915
237,1407044,10/06/2014,Greenwood Substation,KINGS,BROOKLYN,258 23RD ST,Unknown Petroleum,10,Unknown,Unknown,Commercial/Industrial,,12/10/14,"258 23RD ST, BROOKLYN, NY","258 23RD ST, BROOKLYN, NY",40.659739,-73.993806
238,1407055,10/06/2014,Sanitation Garage,KINGS,BROOKLYN,105-02 AVEUNE B,Motor Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,Not closed,"105-02 AVEUNE B, BROOKLYN, NY","105-02 AVEUNE B, BROOKLYN, NY",40.647383,-73.919893
239,1407068,10/06/2014,Former Gas Station,KINGS,BROOKLYN,599 NEW YORK AVE,Gasoline,Unknown,Unknown,Other,Gasoline Station Or Other Pbs Facility,,Not closed,"599 NEW YORK AVE, BROOKLYN, NY","599 NEW YORK AVE, BROOKLYN, NY",40.659791,-73.947386
240,1407076,10/06/2014,Residents,KINGS,BROOKLYN,441 PROSPECT PLACE,#2 Fuel Oil,7,Unknown,Equipment Failure,Private Dwelling,,10/07/14,"441 PROSPECT PLACE, BROOKLYN, NY","441 PROSPECT PLACE, BROOKLYN, NY",40.676395,-73.961547
241,1407145,10/08/2014,Vacant Lot (commercial),KINGS,BROOKLYN,510 DRIGGS AVE,Unknown Petroleum,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"510 DRIGGS AVE, BROOKLYN, NY","510 DRIGGS AVE, BROOKLYN, NY",40.717984,-73.955877
242,1407177,10/09/2014,Subway,KINGS,BROOKLYN,ST. JOHNS PL/FLAT BUSH AVE,Diesel,1,Sewer,Equipment Failure,Commercial Vehicle,,10/10/14,"ST. JOHNS PL/FLAT BUSH AVE, BROOKLYN, NY","ST. JOHNS PL/FLAT BUSH AVE, BROOKLYN, NY",40.671482,-73.947563
243,1407252,10/11/2014,Bypass,KINGS,BROOKLYN,6700 SHAW ROAD PARKWAY,Raw Sewage,Unknown,Unknown,Other,Unknown,,10/14/14,"6700 SHAW ROAD PARKWAY, BROOKLYN, NY","6700 SHAW ROAD PARKWAY, BROOKLYN, NY",40.626447,-74.039701
244,1407271,10/13/2014,Newtown Creek,KINGS,BROOKLYN,APPOLOW AND BRIDGE WATER ST,Unknown Petroleum,Unknown,Surface Water,Unknown,Unknown,Newtown Creek,10/14/14,"APPOLOW AND BRIDGE WATER ST, BROOKLYN, NY","APPOLOW AND BRIDGE WATER ST, BROOKLYN, NY",40.728093,-73.93821
245,1407344,10/15/2014,Ps3,KINGS,BROOKLYN,50 JEFFERSON AVE,#6 Fuel Oil,Unknown,Soil,Unknown,"Institutional, Educational, Gov., Other",,12/17/14,"50 JEFFERSON AVE, BROOKLYN, NY","50 JEFFERSON AVE, BROOKLYN, NY",40.682293,-73.955204
246,1407383,10/16/2014,Gas Station/ 278 Fuel Stop,KINGS,BROOKLYN,392 LEONARD ST,Diesel,2,Unknown,Unknown,Gasoline Station Or Other Pbs Facility,,11/03/14,"392 LEONARD ST, BROOKLYN, NY","392 LEONARD ST, BROOKLYN, NY",40.718398,-73.948074
247,1407478,10/20/2014,Residence,KINGS,BROOKLYN,577 WARREN STREET,Gasoline,Unknown,Soil,Deliberate,Private Dwelling,,11/20/14,"577 WARREN STREET, BROOKLYN, NY","577 WARREN STREET, BROOKLYN, NY",40.681738,-73.981209
248,1407504,10/20/2014,Building,KINGS,BROOKLYNED,111 58TH STREET,Gasoline,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"111 58TH STREET, BROOKLYNED, NY","111 58TH STREET, BROOKLYNED, NY",40.645884,-74.023197
249,1407592,10/23/2014,Apt Building Silver Shores,KINGS,BROOKLYN,141 MESEROLE AVE,#2 Fuel Oil,Unknown,"Soil , Air",Unknown,Commercial/Industrial,,11/25/14,"141 MESEROLE AVE, BROOKLYN, NY","141 MESEROLE AVE, BROOKLYN, NY",40.727755,-73.951393
250,1407672,10/24/2014,72 Police Station,KINGS,BROOKLYN,830 4TH AVE,Transmission Fluid,2,Groundwater,Unknown,Commercial Vehicle,,Not closed,"830 4TH AVE, BROOKLYN, NY","830 4TH AVE, BROOKLYN, NY",40.658261,-74.000973
251,1407682,10/25/2014,Manhole 64664,KINGS,BROOKLYN,BURGEN ST/ UNDERHILL AVE,Unknown Petroleum,Unknown,Soil,Unknown,Unknown,,Not closed,"BURGEN ST/ UNDERHILL AVE, BROOKLYN, NY","BURGEN ST/ UNDERHILL AVE, BROOKLYN, NY",40.677066,-73.965984
252,1407696,10/25/2014,Private Residence,KINGS,BROOKLYN,23 HIMROD STREET,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,11/28/14,"23 HIMROD STREET, BROOKLYN, NY","23 HIMROD STREET, BROOKLYN, NY",40.694628,-73.925586
253,1407699,10/26/2014,Manhole 65438,KINGS,BROOKLYN,3RD AVE 23ST,Unknown Petroleum,6,Unknown,Unknown,Commercial/Industrial,,01/23/15,"3RD AVE 23ST, BROOKLYN, NY","3RD AVE 23ST, BROOKLYN, NY",40.678178,-73.944158
253,1407699,10/26/2014,Manhole 65438,KINGS,BROOKLYN,3RD AVE 23ST,Other,300,Unknown,Unknown,Commercial/Industrial,,01/23/15,"3RD AVE 23ST, BROOKLYN, NY","3RD AVE 23ST, BROOKLYN, NY",40.678178,-73.944158
254,1407700,10/26/2014,Man Hole #65436,KINGS,BROOKLYN,3RD AVE 8TH STREET,Unknown Petroleum,6,Unknown,Unknown,Unknown,,12/10/14,"3RD AVE 8TH STREET, BROOKLYN, NY","3RD AVE 8TH STREET, BROOKLYN, NY",40.699381,-73.97422
255,1407752,10/28/2014,Corner Of Arlington And Hemlock,KINGS,BROOKLYN,469 ARLINGTON,Waste Oil/Used Oil,Unknown,Soil,Deliberate,Private Dwelling,,11/05/14,"469 ARLINGTON, BROOKLYN, NY","469 ARLINGTON, BROOKLYN, NY",40.681606,-73.879481
256,1407757,10/28/2014,Residence,KINGS,BROOKLYN,2954 NOSTRAND AVE,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Private Dwelling,,03/23/15,"2954 NOSTRAND AVE, BROOKLYN, NY","2954 NOSTRAND AVE, BROOKLYN, NY",40.612441,-73.944508
257,1407765,10/28/2014,Drum Run - 5 Abandoned 5 Gal Pails,KINGS,BROOKLYN,UNION STREET,Waste Oil/Used Oil,25,Soil,Abandoned Drums,"Institutional, Educational, Gov., Other",,11/14/14,"UNION STREET, BROOKLYN, NY","UNION STREET, BROOKLYN, NY",40.679532,-73.988491
258,1407782,10/28/2014,Tank Test Failure,KINGS,BROOKLYN,2626 HOMECREST AVE,#6 Fuel Oil,Unknown,Unknown,Tank Test Failure,Private Dwelling,,Not closed,"2626 HOMECREST AVE, BROOKLYN, NY","2626 HOMECREST AVE, BROOKLYN, NY",40.586929,-73.956979
259,1407796,10/28/2014,Roadway And Sewer,KINGS,BROOKLYN,BOERUM PL AND SCHERMERHORN ST,Transmission Fluid,3,Sewer,Equipment Failure,Commercial Vehicle,,10/31/14,"BOERUM PL AND SCHERMERHORN ST, BROOKLYN, NY","BOERUM PL AND SCHERMERHORN ST, BROOKLYN, NY",40.690333,-73.989645
260,1407819,10/29/2014,Sidewalk,KINGS,BROOKLYN,2600 ATLANTIC AVE,Hydraulic Oil,Unknown,Soil,Equipment Failure,Commercial/Industrial,,12/17/14,"2600 ATLANTIC AVE, BROOKLYN, NY","2600 ATLANTIC AVE, BROOKLYN, NY",40.675448,-73.898171
261,1407861,10/30/2014,Manhole 57784,KINGS,BROOKLYN,16TH AVE & 78TH ST,Transformer Oil,0.01,Soil,Equipment Failure,Commercial/Industrial,,01/23/15,"16TH AVE & 78TH ST, BROOKLYN, NY","16TH AVE & 78TH ST, BROOKLYN, NY",40.614594,-74.002614
262,1407866,10/30/2014,57767 Manhole,KINGS,BROOKLYN,16TH AVE AND 76TH ST,Dielectric Fluid,0.5,Unknown,Equipment Failure,Commercial/Industrial,,12/10/14,"16TH AVE AND 76TH ST, BROOKLYN, NY","16TH AVE AND 76TH ST, BROOKLYN, NY",40.615714,-74.001453
262,1407866,10/30/2014,57767 Manhole,KINGS,BROOKLYN,16TH AVE AND 76TH ST,Other,50,Unknown,Equipment Failure,Commercial/Industrial,,12/10/14,"16TH AVE AND 76TH ST, BROOKLYN, NY","16TH AVE AND 76TH ST, BROOKLYN, NY",40.615714,-74.001453
263,1407922,10/31/2014,Floyd Bennett Field,KINGS,BROOKLYN,FLATBUSH AVE/ AVIATION ROAD,Unknown Petroleum,Unknown,"Soil , Groundwater",Unknown,Unknown,,11/03/14,"FLATBUSH AVE/ AVIATION ROAD, BROOKLYN, NY","FLATBUSH AVE/ AVIATION ROAD, BROOKLYN, NY",40.582825,-73.885511
264,1407950,11/02/2014,Man Hole 65474,KINGS,BROOKLYN,FLAT LAND AVE AND SCHENCK AVE,Dielectric Fluid,1,Unknown,Equipment Failure,Commercial/Industrial,,01/23/15,"FLAT LAND AVE AND SCHENCK AVE, BROOKLYN, NY","FLAT LAND AVE AND SCHENCK AVE, BROOKLYN, NY",40.667388,-73.887084
265,1407965,11/03/2014,Floyd Bennett Field Beach,KINGS,BROOKLYN,AVIATION RD,Unknown Petroleum,Unknown,"Soil , Groundwater , Surface Water",Unknown,Unknown,Jamaica Bay,11/03/14,"AVIATION RD, BROOKLYN, NY","AVIATION RD, BROOKLYN, NY",40.582825,-73.885511
266,1407968,11/03/2014,Estella Lopez,KINGS,BROOKLYN,1526 NEPTUNE AVE,Unknown Petroleum,Unknown,"Soil , Soil",Unknown,Private Dwelling,,11/03/14,"1526 NEPTUNE AVE, BROOKLYN, NY","1526 NEPTUNE AVE, BROOKLYN, NY",40.578876,-73.983953
267,1408006,11/03/2014,Marty's Pharmacy,KINGS,BROOKLYN,9422 AVE L,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Commercial/Industrial,,03/17/15,"9422 AVE L, BROOKLYN, NY","9422 AVE L, BROOKLYN, NY",40.637553,-73.896998
268,1408024,11/04/2014,Manhole 5743,KINGS,BROOKLYN,PROSPECT PARK W AND 4 ST,Dielectric Fluid,Unknown,Soil,Equipment Failure,Commercial/Industrial,,01/23/15,"PROSPECT PARK W AND 4 ST, BROOKLYN, NY","PROSPECT PARK W AND 4 ST, BROOKLYN, NY",40.667637,-73.974367
269,1408100,11/05/2014,Ems Station #35,KINGS,BROOKLYN,332 METROPOLITAN AVE,Diesel,12,Unknown,Human Error,"Institutional, Educational, Gov., Other",,11/06/14,"332 METROPOLITAN AVE, BROOKLYN, NY","332 METROPOLITAN AVE, BROOKLYN, NY",40.714179,-73.956992
270,1408128,11/06/2014,Outside,KINGS,BROOKLYN,16 BRIDGEWATER ST,Diesel,10,Unknown,Equipment Failure,Commercial Vehicle,,11/24/14,"16 BRIDGEWATER ST, BROOKLYN, NY","16 BRIDGEWATER ST, BROOKLYN, NY",40.727215,-73.934756
271,1408157,11/07/2014,Pole 5356,KINGS,BROOKLYN,439 LINCOLN AVE,Dielectric Fluid,0.06,Unknown,Equipment Failure,Commercial/Industrial,,01/23/15,"439 LINCOLN AVE, BROOKLYN, NY","439 LINCOLN AVE, BROOKLYN, NY",40.679322,-73.86795
272,1408164,11/07/2014,Residence,KINGS,BROOKLYN,320 LINDEN BLVD,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Private Dwelling,,11/20/14,"320 LINDEN BLVD, BROOKLYN, NY","320 LINDEN BLVD, BROOKLYN, NY",40.652441,-73.947475
273,1408186,11/07/2014,Sub Station,KINGS,BROOKLYN,89 JOHN STREET,Dielectric Fluid,800,Surface Water,Unknown,Unknown,Hudson River,11/10/14,"89 JOHN STREET, BROOKLYN, NY","89 JOHN STREET, BROOKLYN, NY",40.704375,-73.984956
274,1408201,11/09/2014,Eastbound,KINGS,BROOKLYN,BQE EASTBOUND EXIT 20A,Diesel,50,Unknown,Traffic Accident,Commercial Vehicle,,11/10/14,"BQE EASTBOUND EXIT 20A, BROOKLYN, NY","BQE EASTBOUND EXIT 20A, BROOKLYN, NY",40.678178,-73.944158
275,1408202,11/09/2014,Upper And Lower,KINGS,BROOKLYN,ATLANTA AVENUE,Diesel,90,Unknown,Traffic Accident,Commercial Vehicle,,11/10/14,"ATLANTA AVENUE, BROOKLYN, NY","ATLANTA AVENUE, BROOKLYN, NY",40.687476,-73.986844
276,1408268,11/11/2014,Tank Room,KINGS,BROOKLYN,646 WYONA ST,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Private Dwelling,,Not closed,"646 WYONA ST, BROOKLYN, NY","646 WYONA ST, BROOKLYN, NY",40.662449,-73.890635
277,1408406,11/14/2014,Basement Of Fire House,KINGS,BROOKLYN,2312 65TH ST,Diesel,12,Unknown,Equipment Failure,Commercial/Industrial,,11/17/14,"2312 65TH ST, BROOKLYN, NY","2312 65TH ST, BROOKLYN, NY",40.612148,-73.979138
278,1408417,11/15/2014,Drum Run,KINGS,BROOKLYN,CENTRAL AVE AND PILLING ST,"Waste Oil/Used Oil, Transmission Fluid",Unknown,Unknown,Unknown,"Institutional, Educational, Gov., Other",,12/16/14,"CENTRAL AVE AND PILLING ST, BROOKLYN, NY","CENTRAL AVE AND PILLING ST, BROOKLYN, NY",40.686595,-73.90498
279,1408430,11/16/2014,F Line Train Station,KINGS,BROOKLYN,4TH AVE/9 ST,"Gasoline, Lacquer Thinner, Paint",Unknown,Sewer,Other,Commercial/Industrial,,11/17/14,"4TH AVE/9 ST, BROOKLYN, NY","4TH AVE/9 ST, BROOKLYN, NY",40.684173,-73.978379
280,1408436,11/16/2014,Paint Storage Room,KINGS,BROOKLYN,4TH AVE AND 10TH STREET,Paint,Unknown,Unknown,Other,Commercial/Industrial,,11/17/14,"4TH AVE AND 10TH STREET, BROOKLYN, NY","4TH AVE AND 10TH STREET, BROOKLYN, NY",40.669784,-73.98929
281,1408437,11/16/2014,Drum Run,KINGS,BROOKLYN,82 FURMAN AVE,Waste Oil/Used Oil,Unknown,Unknown,Unknown,"Institutional, Educational, Gov., Other",,12/15/14,"82 FURMAN AVE, BROOKLYN, NY","82 FURMAN AVE, BROOKLYN, NY",40.683209,-73.905952
282,1408442,11/16/2014,Residents,KINGS,BROOKLYN,1263 EAST 89TH STREET,#2 Fuel Oil,5,Unknown,Equipment Failure,Private Dwelling,,03/06/15,"1263 EAST 89TH STREET, BROOKLYN, NY","1263 EAST 89TH STREET, BROOKLYN, NY",40.633761,-73.899721
283,1408460,11/17/2014,Ps 32 Brooklyn,KINGS,NY,317 HOYT STREET,#4 Fuel Oil,100,Soil,Equipment Failure,"Institutional, Educational, Gov., Other",,Not closed,"317 HOYT STREET, NY, NY","317 HOYT STREET, NY, NY",40.680431,-73.991704
284,1408472,11/17/2014,Ground,KINGS,BROOKLYN,1815 OCEAN AVE,#2 Fuel Oil,Unknown,Unknown,Unknown,Commercial/Industrial,,Not closed,"1815 OCEAN AVE, BROOKLYN, NY","1815 OCEAN AVE, BROOKLYN, NY",40.617602,-73.954382
285,1408543,11/19/2014,Drill Pier 9 Red Hook,KINGS,BROOKLYN,70 HAMILTON STREET,Other,Unknown,Unknown,Other,Unknown,,11/19/14,"70 HAMILTON STREET, BROOKLYN, NY","70 HAMILTON STREET, BROOKLYN, NY",40.614692,-74.085858
286,1408555,11/19/2014,Soil Contamination,KINGS,BROOKLYN,110 JAMAICA AVENUE,Gasoline,Unknown,Soil,Other,Commercial/Industrial,,Not closed,"110 JAMAICA AVENUE, BROOKLYN, NY","110 JAMAICA AVENUE, BROOKLYN, NY",40.678467,-73.896133
287,1408582,11/20/2014,Nyc Transit,KINGS,BROOKLYN,40 SAND ST,Diesel,100,Soil,Equipment Failure,Commercial Vehicle,,11/24/14,"40 SAND ST, BROOKLYN, NY","40 SAND ST, BROOKLYN, NY",40.699832,-73.989294
288,1408617,11/21/2014,Commercial Warehouse,KINGS,BROOKLYN,834 LEXINGTON AVE,Unknown Petroleum,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"834 LEXINGTON AVE, BROOKLYN, NY","834 LEXINGTON AVE, BROOKLYN, NY",40.690363,-73.9254
289,1408628,11/21/2014,Construction Site,KINGS,BROOKLYN,PACIFIC STREET/ VANDERBUILT,Gasoline,Unknown,Soil,Unknown,Gasoline Station Or Other Pbs Facility,,Not closed,"PACIFIC STREET/ VANDERBUILT, BROOKLYN, NY","PACIFIC STREET/ VANDERBUILT, BROOKLYN, NY",40.68124,-73.967461
290,1408629,11/21/2014,Construction Site,KINGS,BROOKLYN,CHERRY STREET BETWEEN GARDNER AND SCOTT,Lube Oil,3,Soil,Equipment Failure,Commercial Vehicle,,11/28/14,"CHERRY STREET BETWEEN GARDNER AND SCOTT, BROOKLYN, NY","CHERRY STREET BETWEEN GARDNER AND SCOTT, BROOKLYN, NY",40.678178,-73.944158
291,1408636,11/22/2014,Parking Lot,KINGS,BROOKLYN,800 EAST 17TH STREET,#2 Fuel Oil,15,"Soil , Groundwater",Equipment Failure,Commercial Vehicle,,Not closed,"800 EAST 17TH STREET, BROOKLYN, NY","800 EAST 17TH STREET, BROOKLYN, NY",40.631184,-73.960914
292,1408652,11/23/2014,Man Hole #66936,KINGS,BROOKLYN,719 AVE I,Dielectric Fluid,Unknown,Unknown,Deliberate,Unknown,,01/23/15,"719 AVE I, BROOKLYN, NY","719 AVE I, BROOKLYN, NY",40.627016,-73.968917
293,1408673,11/24/2014,Former Junkyard,KINGS,BROOKLYN,1086-1100 ROCKAWAY AVE,Unknown Petroleum,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"1086-1100 ROCKAWAY AVE, BROOKLYN, NY","1086-1100 ROCKAWAY AVE, BROOKLYN, NY",40.652458,-73.906483
294,1408710,11/25/2014,Soil,KINGS,BROOKLYN,1111 BEDFORD AVE,Unknown Petroleum,Unknown,Soil,Unknown,Gasoline Station Or Other Pbs Facility,,12/05/14,"1111 BEDFORD AVE, BROOKLYN, NY","1111 BEDFORD AVE, BROOKLYN, NY",40.685636,-73.954197
295,1408721,11/25/2014,Brooklyn Army Terminal,KINGS,BROOKLYN,158 58TH ST,Unknown Material,Unknown,Soil,Unknown,Unknown,Hudson River,11/26/14,"158 58TH ST, BROOKLYN, NY","158 58TH ST, BROOKLYN, NY",40.645114,-74.022536
296,1408732,11/25/2014,Brooklyn Army Terminal,KINGS,BROOKLYN,140 58TH ST,Diesel,20,Unknown,Equipment Failure,Commercial Vehicle,,Not closed,"140 58TH ST, BROOKLYN, NY","140 58TH ST, BROOKLYN, NY",40.644865,-74.023959
297,1408738,11/25/2014,Abandoned Drums,KINGS,BROOKLYN,VANSINDEREN AVE & RIVERDALE AVE,Unknown Petroleum,150,Unknown,Abandoned Drums,Commercial/Industrial,,12/15/14,"VANSINDEREN AVE & RIVERDALE AVE, BROOKLYN, NY","VANSINDEREN AVE & RIVERDALE AVE, BROOKLYN, NY",40.662261,-73.900061
298,1408751,11/25/2014,Soil,KINGS,BROOKLYN,418 KENT AVE,Diesel,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"418 KENT AVE, BROOKLYN, NY","418 KENT AVE, BROOKLYN, NY",40.709792,-73.968838
299,1408768,11/26/2014,Abacus Federal Saving,KINGS,BROOKLYN,5518 8TH AVE,#2 Fuel Oil,Unknown,"Soil , Soil , Sewer, Sewer",Equipment Failure,Commercial/Industrial,,Not closed,"5518 8TH AVE, BROOKLYN, NY","5518 8TH AVE, BROOKLYN, NY",40.638065,-74.007231
300,1408896,12/02/2014,Sb32349,KINGS,BROOKLYN,RALPH AVE AND CHAUNCEY ST,Unknown Petroleum,0.25,Unknown,Unknown,Commercial/Industrial,,01/23/15,"RALPH AVE AND CHAUNCEY ST, BROOKLYN, NY","RALPH AVE AND CHAUNCEY ST, BROOKLYN, NY",40.681211,-73.922406
301,1408932,12/03/2014,Drum On Sidewalk - Drum Run,KINGS,BROOKLYN,MCDONALD AVE AT RYDER AVE,Unknown Petroleum,Unknown,Soil,Abandoned Drums,Unknown,,12/15/14,"MCDONALD AVE AT RYDER AVE, BROOKLYN, NY","MCDONALD AVE AT RYDER AVE, BROOKLYN, NY",40.612565,-73.973729
302,1408936,12/03/2014,Dead End - Drum Run,KINGS,BROOKLYN,FURMAN AVE & BUSHWICK AVE,Waste Oil/Used Oil,Unknown,Unknown,Abandoned Drums,Unknown,,12/15/14,"FURMAN AVE & BUSHWICK AVE, BROOKLYN, NY","FURMAN AVE & BUSHWICK AVE, BROOKLYN, NY",40.682802,-73.906376
303,1408996,12/05/2014,Newtown Creek,KINGS,BROOKLYN,MCGUINNESS BLVD/UNDER BRIDGE,Unknown Petroleum,Unknown,Surface Water,Unknown,Unknown,Newtown Creek,12/05/14,"MCGUINNESS BLVD/UNDER BRIDGE, BROOKLYN, NY","MCGUINNESS BLVD/UNDER BRIDGE, BROOKLYN, NY",40.678178,-73.944158
304,1408998,12/05/2014,Roadway,KINGS,BROOKLYN,37 ST OFF FORT HAMILTON PARKWAY,Diesel,2,Unknown,Equipment Failure,Commercial Vehicle,,12/05/14,"37 ST OFF FORT HAMILTON PARKWAY, BROOKLYN, NY","37 ST OFF FORT HAMILTON PARKWAY, BROOKLYN, NY",40.613126,-74.030863
305,1409010,12/05/2014,Apart,KINGS,BROOKLYN,949 BEDFORD AVE,Unknown Petroleum,Unknown,Unknown,Unknown,Commercial/Industrial,,Not closed,"949 BEDFORD AVE, BROOKLYN, NY","949 BEDFORD AVE, BROOKLYN, NY",40.691602,-73.955218
306,1409052,12/07/2014,"Construction Site, Exposed Soil",KINGS,BROOKLYN,6002 FORT HAMILTON PARKWAY,Unknown Petroleum,Unknown,Soil,Other,"Institutional, Educational, Gov., Other",,01/09/15,"6002 FORT HAMILTON PARKWAY, BROOKLYN, NY","6002 FORT HAMILTON PARKWAY, BROOKLYN, NY",40.63301,-74.006219
307,1409060,12/08/2014,Mta/Bus Depot,KINGS,BROOKLYN,38TH ST AND 5TH AVE,Gasoline,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"38TH ST AND 5TH AVE, BROOKLYN, NY","38TH ST AND 5TH AVE, BROOKLYN, NY",40.65183,-74.003327
308,1409067,12/08/2014,Owls Head Wastewater Treatment,KINGS,BROOKLYN,6700 SHORE RD,#2 Fuel Oil,100,Unknown,Equipment Failure,"Institutional, Educational, Gov., Other",,12/08/14,"6700 SHORE RD, BROOKLYN, NY","6700 SHORE RD, BROOKLYN, NY",40.641886,-74.034062
309,1409147,12/09/2014,Commercial Property,KINGS,RIDGEWOOD,1080 WYCKOFF,Unknown Petroleum,200,Soil,Unknown,Unknown,,02/03/15,"1080 WYCKOFF, RIDGEWOOD, NY","1080 WYCKOFF, RIDGEWOOD, NY",40.694385,-73.902538
310,1409164,12/10/2014,Drum Run,KINGS,BROOKLYN,724 CENTRAL AVE,Waste Oil/Used Oil,500,Unknown,Other,Commercial/Industrial,,03/02/15,"724 CENTRAL AVE, BROOKLYN, NY","724 CENTRAL AVE, BROOKLYN, NY",40.68658,-73.904985
311,1409173,12/10/2014,Vaulted Tank,KINGS,BROOKLYN,583 KNICKERBOCKER AVE,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,03/17/15,"583 KNICKERBOCKER AVE, BROOKLYN, NY","583 KNICKERBOCKER AVE, BROOKLYN, NY",40.6967,-73.91416
312,1409181,12/10/2014,Unknown Residence,KINGS,BROOKLYN,1316 AVE N,#2 Fuel Oil,2,Soil,Tank Test Failure,Private Dwelling,,Not closed,"1316 AVE N, BROOKLYN, NY","1316 AVE N, BROOKLYN, NY",40.615245,-73.960802
313,1409219,12/11/2014,To Street,KINGS,BROOKLYN,67 STANHOPE ST,#2 Fuel Oil,10,Soil,Equipment Failure,Commercial/Industrial,,12/29/14,"67 STANHOPE ST, BROOKLYN, NY","67 STANHOPE ST, BROOKLYN, NY",40.696371,-73.925011
314,1409226,12/11/2014,Unknown School,KINGS,BROOKLYN,1010 AVE I,#4 Fuel Oil,Unknown,Soil,Tank Test Failure,Private Dwelling,,Not closed,"1010 AVE I, BROOKLYN, NY","1010 AVE I, BROOKLYN, NY",40.62694,-73.966354
315,1409282,12/12/2014,Residents,KINGS,BROOKLYN,167 DEKALB AVE,#2 Fuel Oil,5,Unknown,Equipment Failure,Private Dwelling,,12/15/14,"167 DEKALB AVE, BROOKLYN, NY","167 DEKALB AVE, BROOKLYN, NY",40.689633,-73.973081
316,1409399,12/15/2014,5923 17 Ave,KINGS,,Unknown,Unknown Material,Unknown,Air,Unknown,Private Dwelling,,Not closed,"Unknown, , NY","Unknown, , NY",40.508971,-74.212685
317,1409417,12/17/2014,Oil Tank Room,KINGS,BROOKLYN,119 EAST 19TH ST,Unknown Petroleum,Unknown,Unknown,Equipment Failure,Private Dwelling,,12/18/14,"119 EAST 19TH ST, BROOKLYN, NY","119 EAST 19TH ST, BROOKLYN, NY",40.646429,-73.961181
318,1409529,12/22/2014,Drum Run,KINGS,BROOKLYN,803 FORBELL ST,Diesel,Unknown,Unknown,Abandoned Drums,Commercial/Industrial,,03/02/15,"803 FORBELL ST, BROOKLYN, NY","803 FORBELL ST, BROOKLYN, NY",40.664202,-73.860378
319,1409582,12/23/2014,Carruzzo Residence,KINGS,BROOKLYN,438 15TH ST,Unknown Material,Unknown,Unknown,Unknown,Private Dwelling,,12/29/14,"438 15TH ST, BROOKLYN, NY","438 15TH ST, BROOKLYN, NY",40.661677,-73.981812
320,1409596,12/23/2014,Keene Residence,KINGS,BROOKLYN,625 EAST 95TH ST,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,Not closed,"625 EAST 95TH ST, BROOKLYN, NY","625 EAST 95TH ST, BROOKLYN, NY",40.653045,-73.913571
321,1409622,12/24/2014,Soil,KINGS,BROOKLYN,440 15TH ST,#2 Fuel Oil,Unknown,Soil,Equipment Failure,Private Dwelling,,Not closed,"440 15TH ST, BROOKLYN, NY","440 15TH ST, BROOKLYN, NY",40.661642,-73.981739
322,1409645,12/26/2014,Combo Building,KINGS,BROOKLYN,794 WASHINGSTION AVE,#2 Fuel Oil,40,Unknown,Human Error,Private Dwelling,,12/29/14,"794 WASHINGSTION AVE, BROOKLYN, NY","794 WASHINGSTION AVE, BROOKLYN, NY",40.674166,-73.963367
323,1409661,12/27/2014,Bqe Ramp,KINGS,BROOKLYN,BQE WESTBOUND ON RAMP,Diesel,15,Unknown,Traffic Accident,Commercial Vehicle,,12/27/14,"BQE WESTBOUND ON RAMP, BROOKLYN, NY","BQE WESTBOUND ON RAMP, BROOKLYN, NY",40.643356,-74.072914
324,1409694,12/29/2014,Petroleum Contaminated Groundwater,KINGS,BROOKLYN,207 NORTH 8TH STREET,Gasoline,Unknown,Groundwater,Unknown,Unknown,,Not closed,"207 NORTH 8TH STREET, BROOKLYN, NY","207 NORTH 8TH STREET, BROOKLYN, NY",40.717456,-73.955184
