,Spill Number,Date Spill Reported,SpillName,County,City/Town,Address,Material,Amount,Resource Affected,Cause,Source,Waterbody,Closed,Full Address,original address,latitude,longitude
167,1404948,08/06/2014,Owlshead Waste Water Treatment,KINGS,BROOKLYN,6700 SHORE RD PKWY,Raw Sewage,50,Unknown,Equipment Failure,Commercial/Industrial,,08/07/14,"6700 SHORE RD PKWY, BROOKLYN, NY","6700 SHORE RD PKWY, BROOKLYN, NY",40.626447,-74.039701
168,1404990,08/07/2014,Hospital,KINGS,BROOKLYN,506 6TH STREET/ 7TH AVE,Hydraulic Oil,5,Unknown,Equipment Failure,Commercial Vehicle,,08/08/14,"506 6TH STREET/ 7TH AVE, BROOKLYN, NY","506 6TH STREET/ 7TH AVE, BROOKLYN, NY",40.63104,-74.016047
169,1404997,08/07/2014,Mta Sidewalk Vent,KINGS,BROOKLYN,12 UNION AVE,Unknown Non-Petro/Non-Haz Material,Unknown,Unknown,Unknown,Unknown,,08/11/14,"12 UNION AVE, BROOKLYN, NY","12 UNION AVE, BROOKLYN, NY",40.700623,-73.950253
170,1405008,08/08/2014,Outside,KINGS,BROOKLYN,225 THIRD STREET,Unknown Petroleum,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,"225 THIRD STREET, BROOKLYN, NY","225 THIRD STREET, BROOKLYN, NY",40.67614,-73.98925
171,1405025,08/08/2014,Drum Run,KINGS,BROOKLYN,MACDONALD AVE AND AVE I,Waste Oil/Used Oil,55,Unknown,Abandoned Drums,Commercial/Industrial,,09/12/14,"MACDONALD AVE AND AVE I, BROOKLYN, NY","MACDONALD AVE AND AVE I, BROOKLYN, NY",40.626001,-73.976102
172,1405038,08/08/2014,Construction Site,KINGS,BROOKLYN,317-335 SARATOGA AVE,Unknown Petroleum,Unknown,Soil,Other,Commercial/Industrial,,10/14/14,"317-335 SARATOGA AVE, BROOKLYN, NY","317-335 SARATOGA AVE, BROOKLYN, NY",40.674864,-73.916617
173,1405056,08/09/2014,Road Way,KINGS,BROOKLYN,2900 FLATBUSH AVE,Hydraulic Oil,1,Unknown,Traffic Accident,Commercial Vehicle,,11/24/14,"2900 FLATBUSH AVE, BROOKLYN, NY","2900 FLATBUSH AVE, BROOKLYN, NY",40.59934,-73.91159
174,1405069,08/10/2014,Man Hole 65528 And Vault 3992,KINGS,BROOKLYN,SOUTH SIDE OF HAWTHORNE STREET WEST OF BEDFORD AVE,Unknown Hazardous Material,10,Unknown,Unknown,Commercial/Industrial,,10/03/14,"SOUTH SIDE OF HAWTHORNE STREET WEST OF BEDFORD AVE, BROOKLYN, NY","SOUTH SIDE OF HAWTHORNE STREET WEST OF BEDFORD AVE, BROOKLYN, NY",40.699994,-73.957234
175,1405149,08/12/2014,St Matthew Church - Ttf,KINGS,BROOKLYN,450 67TH ST,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Commercial/Industrial,,10/14/14,"450 67TH ST, BROOKLYN, NY","450 67TH ST, BROOKLYN, NY",40.635909,-74.02126
176,1405181,08/13/2014,Owl's Head Waste Water Treatment Plant,KINGS,BROOKLYN,6700 SHORE RD,Raw Sewage,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,08/15/14,"6700 SHORE RD, BROOKLYN, NY","6700 SHORE RD, BROOKLYN, NY",40.641886,-74.034062
